frame,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13,x_14,y_14,x_15,y_15,x_16,y_16
48,940.75433,265.3893,949.7071,253.03537,927.0835,251.16623,947.1229,264.127,884.6285,260.56525,953.63165,344.7229,822.16315,344.8494,965.2966,458.00363,786.82166,461.63983,927.15765,542.63196,845.3366,538.75507,919.9356,537.6195,821.2669,539.1103,952.1162,708.1507,790.25946,710.915,967.04395,875.97473,756.8549,877.4528
49,948.284,266.86084,955.8823,255.1247,936.5023,252.26628,948.249,266.19388,893.0473,259.99924,951.57355,347.1567,824.0048,343.33734,962.98663,469.08655,787.89685,462.8519,924.6607,556.9434,848.70374,539.31775,915.5854,540.8072,819.449,541.13947,949.17303,711.83844,789.63196,712.67395,969.9463,879.1943,759.9064,877.567
50,936.29193,267.0101,945.1562,254.68666,924.4239,253.36826,946.64233,265.4741,888.85474,261.38882,954.9306,348.65625,826.5075,343.8966,962.9954,464.19205,787.60443,459.95517,928.3814,553.0424,843.0896,545.5217,914.17224,549.77747,819.404,549.4085,950.62683,717.4667,791.7667,717.37103,969.1526,879.98883,760.16693,877.6395
51,935.1191,265.48032,944.8904,252.89886,922.4032,251.93234,948.71545,263.8582,886.7959,260.80737,957.6953,348.10355,828.47534,345.9701,962.93414,462.206,792.36957,461.1266,926.43695,557.52484,842.24084,547.79913,918.68414,554.25244,823.1016,554.5349,952.6795,718.7212,791.05505,719.7831,967.9911,881.9028,758.19385,881.74664
52,934.71606,263.1699,945.0411,251.07953,922.0252,249.21469,946.29205,264.05795,886.3036,260.52835,955.59143,348.65817,825.82745,347.62372,964.01715,465.6285,788.37616,464.3273,929.9167,557.0858,845.9867,545.4937,917.90265,550.37115,820.89075,551.2897,950.8087,715.791,791.3597,718.7364,964.11255,882.1429,757.7005,885.8712
53,938.1094,260.9989,946.8966,249.29068,926.15796,247.24535,943.99646,263.46442,888.67255,259.4294,952.5972,347.58572,824.70886,347.38422,964.64795,464.46652,788.88904,466.36057,930.82104,557.0968,851.39343,548.2745,916.936,548.9773,820.6121,550.6472,952.1673,716.59314,791.4667,721.1018,966.12726,886.08826,754.87024,891.13245
54,941.2498,267.70752,950.39233,255.75311,929.1583,253.1846,947.3595,267.571,889.8519,261.97955,952.4854,351.17624,826.2169,346.84772,960.8201,475.9391,789.661,466.11282,926.54486,565.5101,850.1606,542.6802,918.50226,549.614,823.0117,549.9943,950.27936,717.31165,791.3104,721.0059,965.23865,887.0861,756.8485,892.14136
55,942.84467,270.66055,952.19696,258.82242,931.45276,256.0049,949.30176,269.10754,893.31464,262.9077,952.5062,351.14578,828.90967,345.80292,959.03986,476.8894,790.64526,465.2579,925.45935,568.7502,847.0476,544.85815,914.82556,548.66473,821.31775,548.506,947.8944,719.38934,791.6957,721.88635,966.0826,887.0061,759.3857,890.8068
56,937.5767,275.93857,947.3431,263.74982,926.842,261.74506,949.75507,271.26126,892.9095,265.49506,954.9176,350.1059,831.2492,344.87302,961.02155,469.37704,791.65137,462.26077,927.10895,564.0471,844.01447,546.0015,914.2286,550.08093,822.1813,549.917,947.9691,715.3175,789.3992,718.1461,969.6173,884.67554,759.6121,887.59827
57,938.89874,282.31763,947.3614,269.55194,927.83484,268.25967,948.03534,273.89832,891.95917,269.94867,954.7596,348.65323,829.78094,347.10782,964.08325,464.48557,791.36774,464.48907,927.45557,561.804,845.93195,547.7058,915.9599,550.8602,823.1763,552.31573,949.68823,714.66473,791.2654,720.36,969.0105,886.0944,759.8622,891.5609
58,943.2199,278.522,951.3472,265.6119,931.02374,263.8492,947.15515,272.40118,890.93024,268.77603,954.0531,351.0392,825.1055,350.26923,964.79095,474.3871,787.8054,469.90274,929.7631,567.5991,851.2057,543.7462,918.54803,554.6262,821.8221,556.74915,951.3986,717.7248,792.5576,724.2932,965.4483,887.7808,758.41626,895.11316
59,952.56647,269.56137,958.1871,256.87143,941.2768,255.43025,947.10297,267.61212,899.2757,264.5377,952.93805,351.1918,828.25934,349.8719,962.90594,480.4768,788.4545,472.41202,926.85626,571.23804,853.20013,544.4103,918.27686,557.8114,824.0686,560.1143,949.7717,720.77765,793.0738,728.3108,967.29736,889.204,756.0198,896.77295
60,957.1157,270.24768,962.40894,257.70914,945.71747,255.76447,949.90247,268.89404,901.68695,264.79678,953.12256,353.1029,829.05066,350.29834,963.5327,482.15262,788.70746,475.16565,927.43524,567.8522,852.6398,547.1413,915.18054,555.2741,821.4461,556.49194,949.8205,720.63715,794.6175,724.59015,965.35547,891.3064,756.2152,893.8081
61,956.35626,268.83447,961.4905,256.33282,944.75134,254.75876,948.759,268.1027,900.07184,264.9919,952.05493,351.296,829.0509,351.0814,962.8067,477.9237,790.8384,475.77603,925.5053,566.5159,855.65515,548.5459,917.4311,551.4187,824.15643,553.7959,949.65106,717.00745,795.6773,722.60614,968.1197,889.87994,760.07263,893.03394
62,951.27563,275.11295,956.38275,262.39584,940.08673,260.7842,944.71014,270.83295,897.51013,267.48917,951.14484,350.2043,827.54285,349.2236,964.2494,474.7079,787.9862,471.4676,928.7318,559.3488,852.8529,543.2477,919.87134,552.7121,826.6877,554.7358,948.8075,719.0003,796.0948,724.0036,967.7979,891.47943,761.5371,894.1557
63,955.838,268.75644,960.11285,256.49982,945.12067,254.52081,945.57886,267.53836,900.93787,263.26486,951.03424,349.30426,825.8764,347.97903,965.4873,473.84,784.4724,473.60577,928.9805,560.34393,853.45514,552.59845,917.9493,552.605,824.07684,554.8132,950.5208,720.5124,798.04486,726.2926,966.47186,891.44244,761.6073,895.84753
64,944.5001,266.89746,949.7186,254.87448,934.40137,253.12006,938.8539,266.2067,896.4415,262.6138,950.8647,347.3694,827.1868,348.02637,967.0933,466.40698,787.0884,468.33023,932.5181,555.9122,851.4797,544.53577,921.9961,553.0851,829.39636,555.25,950.0398,723.4117,797.2271,727.96246,966.1484,889.9809,760.5011,892.7641
65,947.9279,268.1156,953.602,255.88275,937.3859,253.98907,943.6745,264.41977,897.5386,260.55212,953.43,343.06467,826.79926,343.31085,968.9165,463.38254,787.3893,466.45688,930.0405,555.02014,852.6068,549.3093,918.9983,546.2289,824.32214,548.042,948.7107,720.008,793.57983,724.2442,965.9546,886.09576,757.901,888.77203
